Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,PEDay,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
1393,30,30,A,7,10713.03,13487.68,17702.89,17226.15,8279.471,8255.866,8489.961,8195.174,0.251133573,8305.118,,,0.149,0.316,,0.342,207.378579,0.79529633,NA,260.756362,75.8472505,,,,,,,,,,,5816.589358,5327.233764,6096.306396,6213.388191,8380
1393,30,30,B,7,9987.625,11782.01,16007.25,15653.8,8318.507,8418.765,8369.716,8190.26,0.235847459,8324.312,,,0.123,0.439,,0.407,193.473692,0.50875387,NA,380.289379,49.7343148,,,,,,,,,,,5869.189632,5298.928207,6177.93564,5935.944007,6903
1393,30,30,C,7,4974.381,5767.082,7921.455,8864.685,8207.622,8145.979,8452.561,8486.71,0.23263698,8323.218,,,0.118,0.374,,0.402,297.429095,1.00375407,NA,296.316702,96.7307501,,,,,,,,,,,4979.116082,4920.284574,5904.865952,6171.250184,4357
1393,30,30,D,7,6094.111,7806.941,9479.386,10877.84,8318.916,7983.42,8430.303,8526.083,0.220898326,8314.6805,,,0.116,0.401,,0.463,253.594859,0.85637402,NA,296.126287,82.5240602,,,,,,,,,,,5264.816481,4985.552779,5927.031711,5949.768445,3903
1393,30,30,E,7,8221.268,10024.69,14069.87,15190.92,8187.458,8175.859,8317.384,8512.882,0.268655588,8298.39575,,,0.113,0.422,,0.54,207.660796,0.76495008,NA,271.469737,73.2130836,,,,,,,,,,,6005.226009,5745.832628,6384.489879,6322.974606,6405
1393,30,30,F,7,10005.76,12761.87,18241.44,18645.78,8075.349,8060.374,8330.866,8386.473,0.300267501,8213.2655,,,0.154,0.414,,0.554,179.890401,0.74948426,NA,240.018916,70.8931574,,,,,,,,,,,6166.117311,5803.264611,6448.279335,6244.481971,8309
2951,30,30,A,7,4511.462,8476.781,14959.43,29796.54,7567.342,6711.579,6750.774,6427,0.623132412,6864.17375,,,0.173,0.466,,0.507,289.918427,0.48978908,NA,591.925053,48.5182007,,,,,,,,,,,4718.091808,5335.438809,5306.670074,4561.142899,6141
2951,30,30,B,7,3907.368,5872.366,8197.376,12920.84,7880.982,6933.279,6908.988,6559.986,0.392148901,7070.80875,,,0.195,0.492,,0.372,198.117596,0.69937671,NA,283.277369,67.1703956,,,,,,,,,,,5306.379506,5454.564567,5196.772838,4614.570683,4402
2951,30,30,C,7,6276.145,10384.27,17011.35,18265.22,7776.83,7016.263,6837.215,5993.522,0.498562415,6905.9575,,,0.172,0.484,,0.511,135.128923,0.94951476,NA,142.313663,81.896483,,,,,,,,,,,4983.80893,5519.790012,5284.067736,4471.730427,8057
2951,30,30,D,7,5200.342,8646.94,12522.74,36464.99,7618.642,6884.459,7087.245,6573.045,0.621322538,7040.84775,,,0.352,0.505,,0.54,136.650565,0.69625007,NA,196.266502,64.1662323,,,,,,,,,,,4989.216679,5483.010801,5207.418859,4938.196953,6787
2951,30,30,E,7,6163.474,8250.714,11530.26,17811.58,7745.928,6923.258,7312.244,6672.867,0.384774533,7163.57425,,,0.262,0.518,,0.51,139.747836,0.56060752,NA,249.279274,53.2352707,,,,,,,,,,,5119.549427,5411.990609,5676.995311,5592.360561,6750
2951,30,30,F,7,6756.865,9221.998,10253.11,14317.42,7872.416,6960.017,7067.064,6603.385,0.235874322,7125.7205,,,0.242,0.506,,0.433,146.940935,0.58807903,NA,249.865966,55.8570308,,,,,,,,,,,4873.200669,5339.034285,5583.529077,5799.06162,5038
1391,18,18,A,24,17443.3007,17776.73751,26835.58429,38436.82129,7678.068297,7795.111627,8866.234438,9161.981117,0.385562583,8375.34887,58339,,0.093590864,0.311,,0.588,407.62494,2.42915158,NA,167.805477,217.731135,,,,,,,,,,,2098.065635,2409.477445,2621.507793,2775.960067,15067
1391,18,18,B,24,22779.36131,26736.0917,40547.41701,67592.56316,7160.807024,8447.842478,8870.611634,9035.103344,0.463741781,8378.59112,62621,,0.075054515,0.523,,0.655,371.309516,2.00341869,NA,185.337951,182.925993,,,,,,,,,,,2284.703625,2751.768289,2764.705584,2906.604592,25151
1391,18,18,C,24,25805.57623,29050.11767,42531.70135,69240.39276,7398.051394,7729.422263,8491.600927,9018.252544,0.434280934,8159.331782,44513,,0.091659171,0.52,,0.618,357.073166,1.97699866,NA,180.613762,179.702071,,,,,,,,,,,2236.429339,2544.146176,2668.669898,2873.108258,27583
1391,18,18,D,24,21575.04583,23916.75658,36670.87458,59797.35108,7301.446392,7576.032096,8694.903787,9114.743666,0.458191019,8171.781485,55128,,0.069293909,0.522,,0.629,292.566181,1.66583356,NA,175.627498,150.644926,,,,,,,,,,,2218.262964,2526.826465,2598.50081,2825.357398,26668
1391,18,18,E,24,20170.09406,25535.31289,38390.0281,62729.8668,7202.786392,7705.183838,8852.576621,9117.289137,0.449387683,8219.458997,72631,,0.085638762,0.482,,0.622,260.759329,1.44620307,NA,180.306164,131.414613,,,,,,,,,,,2289.181657,2637.199309,2842.323254,3014.038425,27254
1391,18,18,F,24,20267.82474,23551.83745,33398.04684,55767.83672,7161.583822,7360.888624,8619.273094,8979.936828,0.43099673,8030.420592,57258,,0.078940711,0.512,,0.643,282.218454,1.54555919,NA,182.599577,140.757626,,,,,,,,,,,2170.333071,2496.390632,2671.128569,2843.757049,25337
1393,18,18,A,24,10802.64045,11309.327,11404.92054,14369.73443,8399.515207,8123.044226,8031.845762,7961.416414,0.119748218,8128.955402,1275,,0.219540173,0.364,,0.422,335.727844,1.42295937,NA,235.936354,134.345897,,,,,,,,,,,3816.227825,3819.138422,3926.714948,4164.437139,6618
