,IDs,Strain,Light,Ev,Assay,Rep,Sp.Ev,FLB,OB,Os,Ts,TypeI.a,TypeI.AIC,TypeII.a,TypeII.h,TypeII.AIC,Type.bestfit,a.bestfit,G_O,Light.Ev.Acc
31,1391.100.18.36.A,1391,100,18,36,A,1393.18,1009,1277222.222,1277222.222,1278231.222,1.71E-06,-9.370384242,1.77E-06,0.007826472,-7.457896877,Type I,1.71E-06,2.220312033,100.18.
32,1391.100.18.36.B,1391,100,18,36,B,1393.18,1009,1277222.222,1277222.222,1278231.222,1.34E-06,-6.783543713,1.54E-06,0.036881952,-5.255327435,Type I,1.34E-06,1.82998989,100.18.
33,1391.100.18.36.C,1391,100,18,36,C,1393.18,1009,1277222.222,1277222.222,1278231.222,1.02E-06,1.660919773,1.02E-06,0,3.660919773,Type I,1.02E-06,1.304553906,100.18.
34,1391.100.18.36.D,1391,100,18,36,D,1393.18,7410,1277222.222,1277222.222,1284632.222,7.20E-07,8.946334029,0.08309177,0.43065493,4.626376264,Type II,0.08309177,2.321993901,100.18.
35,1391.100.18.36.E,1391,100,18,36,E,1393.18,7410,1277222.222,1277222.222,1284632.222,6.30E-07,2.213209898,2.86E-06,0.384781236,-1.082112563,Type II,2.86E-06,1.518937313,100.18.
36,1391.100.18.36.F,1391,100,18,36,F,1393.18,7410,1277222.222,1277222.222,1284632.222,5.32E-07,0.330612432,2.14E-06,0.437140728,-2.492989519,Type II,2.14E-06,1.24449186,100.18.
37,1391.100.18.39.A,1391,100,18,39,A,1393.18,14387,1277222.222,1277222.222,1291609.222,8.34E-07,9.198923493,8.34E-07,0,11.19892349,Type I,8.34E-07,1.065373098,100.18.
38,1391.100.18.39.B,1391,100,18,39,B,1393.18,14387,1277222.222,1277222.222,1291609.222,8.92E-07,10.38198657,8.92E-07,0,12.38198657,Type I,8.92E-07,1.138860844,100.18.
39,1391.100.18.39.C,1391,100,18,39,C,1393.18,14387,1277222.222,1277222.222,1291609.222,6.76E-07,9.062488791,6.76E-07,0,11.06248879,Type I,6.76E-07,0.863904792,100.18.
40,1391.100.18.39.D,1391,100,18,39,D,1393.18,8069,1277222.222,1277222.222,1285291.222,6.47E-07,6.5315864,8.91E-06,0.333193261,2.682751204,Type II,8.91E-06,2.374705916,100.18.
41,1391.100.18.39.E,1391,100,18,39,E,1393.18,8069,1277222.222,1277222.222,1285291.222,5.41E-07,-1.979128106,8.63E-07,0.163606004,-2.158419649,Type II,8.63E-07,0.933826538,100.18.
42,1391.100.18.39.F,1391,100,18,39,F,1393.18,8069,1277222.222,1277222.222,1285291.222,3.97E-07,0.335506955,1.74E-06,0.469984937,-2.126914616,Type II,1.74E-06,1.085561095,100.18.
43,1391.100.24.18.A,1391,100,24,18,A,1393.24,1715,810000,810000,811715,7.59E-07,7.92396737,4.52E-05,0.369949501,-10.50601448,Type II,4.52E-05,2.517339925,100.24.
44,1391.100.24.18.B,1391,100,24,18,B,1393.24,1715,810000,810000,811715,5.65E-07,6.046375931,0.501713969,0.504741609,-9.674390666,Type II,0.501713969,1.98120208,100.24.
45,1391.100.24.18.C,1391,100,24,18,C,1393.24,1715,810000,810000,811715,6.24E-07,7.75155404,0.350004182,0.453865366,-5.311180867,Type II,0.350004182,2.203279439,100.24.
46,1391.100.24.18.D,1391,100,24,18,D,1393.24,0,810000,810000,810000,4.87E-07,-1.70783633,8.39E-07,0.206917942,-3.773305719,Type II,8.39E-07,0.595589875,100.24.
47,1391.100.24.18.E,1391,100,24,18,E,1393.24,0,810000,810000,810000,4.47E-07,5.088674711,2.21E-06,0.436002933,1.408464421,Type II,2.21E-06,1.00484863,100.24.
48,1391.100.24.18.F,1391,100,24,18,F,1393.24,0,810000,810000,810000,4.15E-07,5.411043984,3.40E-06,0.516199731,-4.075888642,Type II,3.40E-06,1.137871152,100.24.
49,1391.100.24.24.A,1391,100,24,24,A,1393.24,22142,810000,810000,832142,5.50E-07,7.799470063,0.112346587,0.578209083,0.681818869,Type II,0.112346587,1.729445324,100.24.
