,ID,Strain,Light,Bact,Ev,Assay,Rep,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,P_I.interp
136,1393 100 Xenic 24 35 B,1393,100,Xenic,24,35,B,0.444,182.4112586,1.814114797,182.7516139,4.509259519,1.72E-07,1.764156108,0.075962654,2.75E-06,103.5915207,136.4505599,2.358108556,130.1998701
137,1393 100 Xenic 24 38 B,1393,100,Xenic,24,38,B,0.172,301.4729626,3.008396159,302.8873103,6.92734729,1.18E-07,2.917736149,0.116151377,1.87E-06,103.8090132,225.8777731,3.903569981,219.2610605
138,1393 100 Xenic 24 40 B,1393,100,Xenic,24,40,B,0.087,119.5066528,1.181638814,58.31554071,32.5967851,0.171561437,2.283178736,4.184458443,0.623272775,25.54138219,58.26920356,1.006995557,90.29391545
139,1393 100 Xenic 24 41.5 B,1393,100,Xenic,24,41.5,B,0.043,210.787537,4.790625841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,1393 100 Xenic 24 44 B,1393,100,Xenic,24,44,B,-0.004,NA,NA,1,NA,NA,0,NA,NA,Inf,0,0,0
141,1393 100 Xenic 24 3 C,1393,100,Xenic,24,3,C,0.434,51.71310187,0.510326663,53.41505409,3.80377446,3.29E-05,0.441825634,0.044673655,0.00018025,120.8962315,36.26592468,0.626739732,33.24683706
142,1393 100 Xenic 24 18 C,1393,100,Xenic,24,18,C,0.442,103.7088998,1.26123816,96.26489106,4.764835838,5.49E-06,1.316249832,0.161160479,0.000447261,73.13572902,84.5282903,1.460799317,75.94463094
143,1393 100 Xenic 24 23 C,1393,100,Xenic,24,23,C,0.431,131.8006229,1.70634735,119.0266704,6.137003141,6.72E-06,1.874812342,0.263710583,0.000853554,63.48724499,109.2469967,1.887982562,96.81069565
144,1393 100 Xenic 24 29 C,1393,100,Xenic,24,29,C,0.421,179.8055673,2.088853232,173.2652683,7.607575474,3.03E-06,2.050018267,0.196424209,0.000139217,84.51888995,143.5412253,2.480647877,130.28282
145,1393 100 Xenic 24 32 C,1393,100,Xenic,24,32,C,0.405,199.2975528,2.200385808,194.7925966,6.163502869,5.96E-07,2.183205702,0.142818008,2.17E-05,89.22319892,157.3615829,2.719488256,146.8526858
146,1393 100 Xenic 24 35 C,1393,100,Xenic,24,35,C,0.382,219.1976974,2.017651853,221.7492708,3.939609844,3.35E-08,2.019410473,0.058128664,3.72E-07,109.8089139,159.9821332,2.764776031,156.5253955
147,1393 100 Xenic 24 38 C,1393,100,Xenic,24,38,C,0.102,348.8463821,3.28773872,350.2330844,7.857865023,1.07E-07,3.440497531,0.137617947,1.91E-06,101.7972201,264.1035143,4.564178832,264.184226
148,1393 100 Xenic 24 40 C,1393,100,Xenic,24,40,C,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1393 100 Xenic 24 41.5 C,1393,100,Xenic,24,41.5,C,0.044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,1393 100 Xenic 24 44 C,1393,100,Xenic,24,44,C,-0.004,NA,NA,1,NA,NA,0,NA,NA,Inf,0,0,95.667432
151,1393 100 Xenic 24 3 D,1393,100,Xenic,24,3,D,0.41,40.59723363,0.443025367,39.80168878,2.867046542,3.48E-05,0.391807541,0.05044417,0.000565979,101.584795,30.04884297,0.519297494,26.65342042
152,1393 100 Xenic 24 18 D,1393,100,Xenic,24,18,D,0.436,87.92151457,1.106869067,79.48110476,4.247097783,8.02E-06,1.180483651,0.165681683,0.000844936,67.32927196,71.72730599,1.239575522,63.68134367
153,1393 100 Xenic 24 23 D,1393,100,Xenic,24,23,D,0.436,110.0485868,1.432924307,98.61934986,5.07131781,6.64E-06,1.607829511,0.230252731,0.000927128,61.33694474,91.33234763,1.578385539,81.19031007
154,1393 100 Xenic 24 29 D,1393,100,Xenic,24,29,D,0.433,145.7874926,1.759018975,137.5679774,5.664463521,2.21E-06,1.81127418,0.17901053,0.000161572,75.95094047,119.1264061,2.058716343,108.6202034
155,1393 100 Xenic 24 32 D,1393,100,Xenic,24,32,D,0.417,157.7314146,1.812033513,152.4367131,4.902393247,6.46E-07,1.83671623,0.131149655,3.34E-05,82.99415584,127.3066609,2.200085705,118.4450258
156,1393 100 Xenic 24 35 D,1393,100,Xenic,24,35,D,0.356,189.4557084,1.880369863,195.8637899,3.142003686,2.01E-08,1.923890992,0.055016586,3.60E-07,101.8060746,147.6896078,2.552339311,144.2998085
157,1393 100 Xenic 24 38 D,1393,100,Xenic,24,38,D,0.105,289.2478812,3.043743648,292.9325275,4.308609065,1.30E-08,3.169636845,0.09286345,4.06E-07,92.41832483,232.5746827,4.019304501,230.9063868
158,1393 100 Xenic 24 40 D,1393,100,Xenic,24,40,D,0.033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,1393 100 Xenic 24 41.5 D,1393,100,Xenic,24,41.5,D,0.005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1393 100 Xenic 24 44 D,1393,100,Xenic,24,44,D,-0.004,NA,NA,1,NA,NA,0,NA,NA,Inf,0,0,0
161,1393 100 Xenic 24 3 E,1393,100,Xenic,24,3,E,0.441,43.73243563,0.430663429,44.85393939,3.998560973,0.000359665,0.370133698,0.050331607,0.00182118,121.1830742,30.40599174,0.52546966,26.0478002
162,1393 100 Xenic 24 18 E,1393,100,Xenic,24,18,E,0.489,92.92638758,1.152360957,84.31682578,4.919222082,1.24E-05,1.182638896,0.174009537,0.00104979,71.29549524,74.69755627,1.290906734,65.72481573
163,1393 100 Xenic 24 23 E,1393,100,Xenic,24,23,E,0.5,146.7263612,1.528399595,139.7862013,12.14442287,8.68E-05,1.313140481,0.192404576,0.001029862,106.4518255,102.7348639,1.775441317,91.99631248
164,1393 100 Xenic 24 29 E,1393,100,Xenic,24,29,E,0.47,152.0369311,1.860535974,144.9290069,6.18916329,2.64E-06,1.906496541,0.195275679,0.000191755,76.01849979,125.4581957,2.168140937,113.8165359
165,1393 100 Xenic 24 32 E,1393,100,Xenic,24,32,E,0.413,178.9096917,1.965350245,172.3115014,6.71499143,1.68E-06,1.916632138,0.153205944,5.79E-05,89.90327251,138.6894287,2.396800194,129.7091276
166,1393 100 Xenic 24 35 E,1393,100,Xenic,24,35,E,0.385,173.3109367,1.509677149,181.1964595,4.66170076,2.12E-07,1.448478739,0.050354857,9.51E-07,125.0943177,120.2599861,2.078306622,118.074366
167,1393 100 Xenic 24 38 E,1393,100,Xenic,24,38,E,0.11,236.5748304,2.479627493,221.2769239,9.346675629,2.50E-06,2.512730766,0.222398598,9.49E-05,88.06232917,179.8789705,3.108628794,174.7310839
168,1393 100 Xenic 24 40 E,1393,100,Xenic,24,40,E,0.035,148.9805603,3.385921825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1393 100 Xenic 24 41.5 E,1393,100,Xenic,24,41.5,E,0.019,312.6466747,7.105606243,NA,NA,NA,NA,NA,NA,NA,130.7162779,NA,130.7162779
170,1393 100 Xenic 24 44 E,1393,100,Xenic,24,44,E,0,NA,NA,1,NA,NA,0,NA,NA,Inf,0,0,0
171,1393 100 Xenic 24 3 F,1393,100,Xenic,24,3,F,0.46,89.24470709,0.6370665,156.1574273,45.98962425,0.042602289,0.563454976,0.040135851,0.000782734,277.1426893,54.02117458,0.933582054,50.42095129
172,1393 100 Xenic 24 18 F,1393,100,Xenic,24,18,F,0.464,118.650314,1.445294003,107.7320165,5.901546557,9.07E-06,1.484499025,0.202362827,0.000738343,72.57129494,94.85724139,1.639301977,84.88138534
173,1393 100 Xenic 24 23 F,1393,100,Xenic,24,23,F,0.447,131.7945345,1.749203522,119.6496559,5.490848067,3.78E-06,1.947613804,0.248677913,0.000544449,61.43397405,110.7647675,1.914212344,99.27772444
174,1393 100 Xenic 24 29 F,1393,100,Xenic,24,29,F,0.431,154.595429,2.070474495,147.6673871,3.923663852,2.49E-07,2.28685968,0.164027445,3.41E-05,64.57212412,134.9035267,2.33137307,125.7116788
175,1393 100 Xenic 24 32 F,1393,100,Xenic,24,32,F,0.386,195.9274505,2.201432028,187.9945344,6.977359805,1.32E-06,2.163180065,0.170484466,5.40E-05,86.90655831,153.7744501,2.657496216,142.6567265
176,1393 100 Xenic 24 35 F,1393,100,Xenic,24,35,F,0.358,165.0892987,1.557054503,169.403263,1.689520834,1.87E-09,1.595606644,0.026929511,2.59E-08,106.1685621,124.6965998,2.154979204,122.9722431
177,1393 100 Xenic 24 38 F,1393,100,Xenic,24,38,F,0.097,195.1798685,2.697344784,197.298457,3.556247038,6.32E-07,2.971739355,0.115664864,1.36E-05,66.39157524,178.8047029,3.090063538,174.6776505
178,1393 100 Xenic 24 40 F,1393,100,Xenic,24,40,F,0.038,82.14252232,1.866875507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,1393 100 Xenic 24 41.5 F,1393,100,Xenic,24,41.5,F,0.031,28.57258851,1.298754023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,1393 100 Xenic 24 44 F,1393,100,Xenic,24,44,F,0,NA,NA,1,NA,NA,0,NA,NA,Inf,0,0,0
